brandname,details,sizes,mrp,sellprice,discount,category
Life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849,50% ,Westernwear-Women
Only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40",3499.0,2449,30% ,Westernwear-Women
Fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large",1199.0,599,50% ,Westernwear-Women
Zink London,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large",2299.0,1379,40% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36",1699.0,849,50% ,Westernwear-Women
Kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34",1795.0,1615,10% ,Westernwear-Women
Life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,1299.0,649,50% ,Westernwear-Women
Rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large",2099.0,839,60% ,Westernwear-Women
Rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large",1499.0,599,60% ,Westernwear-Women
Life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Life,printed jersey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299,50% ,Westernwear-Women
Life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small",599.0,299,50% ,Westernwear-Women
Life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Van Heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small",1999.0,799,60% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",1999.0,999,50% ,Westernwear-Women
Fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
Life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399,50% ,Westernwear-Women
Zink London,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large",2799.0,1679,40% ,Westernwear-Women
Life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Zink Z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1299,Nan,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium",1699.0,849,50% ,Westernwear-Women
Life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Cover Story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small",2890.0,1445,50% ,Westernwear-Women
Infuse,printed square neck rayon womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,999,50% ,Westernwear-Women
Fratini,printed polyester blend round neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1799,Nan,Westernwear-Women
Allen Solly,solid rayon regular fit womens trousers - black,"Size:26,28,30,32,34,36",1299.0,1039,20% ,Westernwear-Women
Infuse,regular fit regular length cotton womens loungewear short set - pink,"Size:Large,Medium,Small,X-Small",899.0,359,60% ,Westernwear-Women
Van Heusen,solid polyester collar neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999,41% ,Westernwear-Women
Life,solid viscose round neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
